iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
38,71.87563061714172,0.7995757555773435,5.614742577233915e-07,2.2900884314488352,1.2801212002805424,1.8988639596304784,0.0,0.0,0.010507105431639987,0.0006566940894774992,7.794004858626158,0.5,0.543835221256011,2.0079224340740827,158040953.62742653,158043130.46741313,3.552713678800501e-15,True,48.0,-10.85590175119514,-55990.151829828654,6.235504251669531e-07,2.16910033046247e-07,158043130.46741313,3.223509689988777e-09,2.421780168815186e-12
39,73.77899026870728,0.7995757551689584,1.1527300517199497e-06,2.290088431451435,1.2801212002805407,1.8988639596323713,0.0,0.0,0.010507105656356227,0.0006566941035222642,7.79400485862625,0.5,0.5438352212560108,2.00792243639794,1297858658.097125,1297876534.6559553,8.881784197001252e-16,False,51.0,-10.855901751195123,-459800.52855507657,9.814361272388649e-06,4.605150824232851e-06,1297876534.6559553,3.925283486982808e-10,2.952596106305296e-13
40,75.68042230606079,0.7995757556421683,1.3357093177805786e-06,2.290088431448432,1.2801212002805218,1.8988639596302033,0.0,0.0,0.010507105395970205,0.0006566940872481378,7.79400485862624,0.5,0.5438352212560068,2.0079224337052346,93992187.30534169,93993481.94104497,1.4210854715202004e-14,True,46.0,-10.855901751195313,33299.211887953934,3.9841698382946676e-07,2.067361393187639e-09,93993481.94104497,5.4200943704070985e-09,-4.071123628369522e-12
41,77.57694458961487,0.7995757555201701,3.443596408992628e-07,2.2900884314492047,1.2801212002805205,1.8988639596307644,0.0,0.0,0.010507105463100614,0.0006566940914437884,7.794004858626238,0.5,0.5438352212560066,2.007922434399451,387714487.49492943,387719827.8319327,8.881784197001252e-16,True,50.0,-10.855901751195361,-137358.0371283961,2.070163247568156e-06,3.196224440671358e-08,387719827.8319327,1.3139734289108241e-09,9.88325744995093e-13
42,79.47156095504761,0.7995757559008085,1.0744120709827865e-06,2.290088431446803,1.2801212002805191,1.8988639596290278,0.0,0.0,0.010507105253651934,0.0006566940783532459,7.7940048586263195,0.5,0.5438352212560064,2.0079224322334825,1209680450.4764178,1209697112.4747965,8.881784197001252e-16,False,51.0,-10.855901751195361,428561.09989907895,7.14904661619838e-06,7.142599685039386e-07,1209697112.4747965,4.2114138272447083e-10,-3.160539188894762e-13
43,81.35872745513916,0.7995757556441755,7.243869796463485e-07,2.290088431448423,1.2801212002805096,1.898863959630207,0.0,0.0,0.010507105394866167,0.0006566940871791354,7.794004858626285,0.5,0.5438352212560045,2.007922433693831,101948404.1139883,101949808.34160618,7.105427357601002e-15,True,47.0,-10.855901751195528,-36117.89202870881,4.780910440093544e-07,1.465899224228906e-07,101949808.34160618,4.997101571413758e-09,3.753309543818387e-12
44,83.26875901222229,0.7995757555249002,3.3667348075317644e-07,2.290088431449179,1.2801212002805082,1.8988639596307557,0.0,0.0,0.010507105460498217,0.0006566940912811386,7.794004858626282,0.5,0.5438352212560041,2.0079224343725524,379060640.87429154,379065862.01420015,8.881784197001252e-16,True,50.0,-10.855901751195493,-134292.18453444773,2.833340514175201e-06,1.2875013588597994e-06,379065862.01420015,1.343971224102213e-09,1.009578803513484e-12
45,85.18319058418274,0.7995757559826591,1.2920953057261043e-06,2.2900884314462933,1.2801212002805065,1.898863959628671,0.0,0.0,0.01050710520861378,0.0006566940755383612,7.794004858626407,0.5,0.543835221256004,2.007922431767744,1454769985.0558987,1454790022.8895264,8.881784197001252e-16,False,51.0,-10.855901751195493,515390.50857861596,1.0942088810716019e-05,7.122411911808513e-06,1454790022.8895264,3.501906628804051e-10,-2.65857296941437e-13
46,87.07379651069641,0.7995757555663034,1.1752287619221966e-06,2.2900884314489236,1.280121200280488,1.8988639596305876,0.0,0.0,0.010507105437716623,0.0006566940898572889,7.794004858626361,0.5,0.543835221256,2.007922434136985,82699372.07967274,82700511.17332254,1.4210854715202004e-14,True,46.0,-10.855901751195743,-29298.416557956487,6.585163066574066e-07,5.219094969532989e-07,82700511.17332254,6.160222276283122e-09,4.628606766488491e-12
47,88.96631407737732,0.7995757548844791,1.924555043792936e-06,2.290088431453281,1.2801212002804863,1.8988639596337682,0.0,0.0,0.010507105812894414,0.0006566941133059009,7.794004858626652,0.5,0.5438352212559999,2.0079224380168093,2166856344.5306163,2166886190.564303,8.881784197001252e-16,False,51.0,-10.855901751195724,-767665.7966364804,1.2418069131108837e-05,2.675800296003672e-06,2166886190.564303,2.3510852833117986e-10,1.7710172214077951e-13
