iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,Phi,sigma,rho,maxabsLagmult,normNTdirx,normNTdirw,stepsize,linesearch_status,linesearch_counter,linesearch_RightItem,gradfNTdir,NTdir_error1,NTdir_error2,NTdir_norm,NTdir_angle,CovDerivKKT_minabseigval
20,35.69366765022278,0.7965041102652753,0.0005663344553236583,2.095215325141938,0.8751839565240294,1.8929732600693574,0.0,0.0,0.20108500971265267,0.013445835751949069,7.30611395437528,0.5,0.45687951303899704,2.79158623778198,76012.12389545715,76012.12622405551,7.450580596923828e-09,True,27.0,-11.272405727475636,-33.8454094197979,9.26102994278283e-09,3.1204621109282016e-09,76012.12622405551,6.844370629889924e-07,7.477072379428868e-09
21,37.52481412887573,0.7965040866724129,5.298252644873323e-05,2.095215326002137,0.8751839564717255,1.8929732612917167,0.0,0.0,0.2010850073949606,0.013445835608151905,7.306113954128111,0.5,0.4568795130257002,2.7915862383145758,910232.8734327275,910232.9002438626,5.820766091346741e-11,True,34.0,-11.272405677794543,-405.32195561888096,1.8790862833025777e-07,6.184036216438926e-08,910232.9002438626,5.71523550080022e-08,6.242594365640555e-10
22,39.36633539199829,0.7965040874791748,1.8117354603622913e-06,2.095215325971546,0.8751839564716761,1.8929732612492771,0.0,0.0,0.2010850074759839,0.013445835613185268,7.3061139541279685,0.5,0.45687951302568713,2.7915862383031222,31872387.283449505,31872388.221651256,5.684341886080802e-14,True,44.0,-11.272405677494607,14192.703403764122,3.0904484975431588e-06,8.763222290042449e-07,31872388.221651256,1.6321846934451562e-09,-1.7810380323230764e-11
23,41.212297201156616,0.7965040872634748,4.843945294709082e-07,2.095215325979716,0.8751839564716694,1.8929732612606214,0.0,0.0,0.20108500745434288,0.013445835611840935,7.30611395412794,0.5,0.45687951302568636,2.7915862383062464,136344938.58222443,136344942.59575403,3.552713678800501e-15,True,48.0,-11.272405677494513,-60714.08478251683,1.7246262626156293e-05,1.280825548732878e-06,136344942.59575403,3.8154431309818754e-10,4.152620878998821e-12
24,43.0699679851532,0.7965040873936492,2.923307572754159e-07,2.095215325974783,0.8751839564716696,1.892973261253774,0.0,0.0,0.20108500746740374,0.01344583561265228,7.306113954127933,0.5,0.45687951302568625,2.791586238304371,329135172.7942836,329135182.4828644,8.881784197001252e-16,True,50.0,-11.272405677494467,146563.13807887514,4.556720615884187e-05,9.689790536171472e-06,329135182.4828644,1.5805537225603575e-10,-1.7178511120720457e-12
25,44.9266357421875,0.796504087270401,2.767768759805348e-07,2.095215325979458,0.8751839564716791,1.8929732612602572,0.0,0.0,0.2010850074550384,0.013445835611884142,7.306113954127952,0.5,0.45687951302568597,2.7915862383061523,311623059.21759254,311623068.3906984,8.881784197001252e-16,False,51.0,-11.272405677494454,-138765.028632812,4.3658389167373275e-05,1.57965211187161e-05,311623068.3906984,1.6693790840437872e-10,1.8214749698680337e-12
26,46.77505922317505,0.7965040874156771,3.2624447458429727e-07,2.095215325973953,0.8751839564716738,1.8929732612526182,0.0,0.0,0.2010850074696215,0.013445835612790051,7.306113954127964,0.5,0.45687951302568575,2.791586238304059,367318623.5996789,367318634.4122472,8.881784197001252e-16,False,51.0,-11.272405677494497,163566.14061269915,4.580815559351195e-05,1.5690437614068742e-05,367318634.4122472,1.4162554290114757e-10,-1.5315027206671196e-12
27,48.64944839477539,0.7965040873223906,2.0949283461735265e-07,2.095215325977493,0.875183956471682,1.8929732612575259,0.0,0.0,0.2010850074602645,0.013445835612208794,7.306113954127991,0.5,0.45687951302568547,2.791586238305408,235867962.4612693,235867969.40440947,8.881784197001252e-16,False,51.0,-11.272405677494524,-105031.45839090904,3.4020040108111856e-05,1.3474474533481384e-05,235867969.40440947,2.2055376406585198e-10,2.4253421691516565e-12
28,50.50729274749756,0.7965040890286184,3.831656733942088e-06,2.095215325913175,0.8751839564716644,1.8929732611681065,0.0,0.0,0.2010850076320237,0.013445835622878726,7.306113954130094,0.5,0.45687951302568536,2.791586238280791,4314061960.01393,4314062087.004851,8.881784197001252e-16,False,51.0,-11.272405677494582,1921041.871765865,0.0007550702074904057,0.00011239990499944952,4314062087.004851,1.2058738843254845e-11,-1.1891097473029628e-13
29,52.35984754562378,0.7965040865445023,5.578553208914085e-06,2.0952153260072643,0.8751839564712438,1.8929732612988313,0.0,0.0,0.20108500738349958,0.013445835607441895,7.306113954129488,0.5,0.45687951302558144,2.7915862383181365,12267368.238320386,12267368.599439716,4.547473508864641e-13,True,41.0,-11.272405677498789,-5462.628201487592,1.8310767086566883e-06,2.1561925933610837e-07,12267368.599439716,4.24065308112209e-09,4.632438519738787e-11
30,54.200064182281494,0.7965040872197819,1.5164672369363837e-06,2.095215325981631,0.8751839564711945,1.892973261263284,0.0,0.0,0.2010850074512927,0.013445835611653386,7.306113954129191,0.5,0.4568795130255685,2.79158623830858,26677973.77907363,26677974.56437001,5.684341886080802e-14,True,44.0,-11.272405677499098,11879.64299689404,3.5521541440524256e-06,2.661694971095585e-07,26677974.56437001,1.9499837588219047e-09,-2.128797808698022e-11
31,56.05657243728638,0.7965040872964698,1.722171843255423e-07,2.095215325978723,0.8751839564711925,1.892973261259249,0.0,0.0,0.20108500745898975,0.013445835612131531,7.306113954129181,0.5,0.4568795130255682,2.7915862383074765,193899311.99048796,193899317.69819686,8.881784197001252e-16,True,50.0,-11.272405677498691,86342.92029135331,2.630898815348442e-05,3.1998806750976883e-06,193899317.69819686,2.682918833375623e-10,-2.9083934142281793e-12
32,57.92607092857361,0.796504087576219,6.28230463764135e-07,2.0952153259681268,0.8751839564711812,1.8929732612445433,0.0,0.0,0.2010850074870765,0.013445835613876297,7.306113954129224,0.5,0.456879513025568,2.791586238303443,707324620.3676918,707324641.1888503,8.881784197001252e-16,False,51.0,-11.272405677498677,314970.0288549628,7.316969298034122e-05,1.8646731399840633e-05,707324641.1888503,7.35469116881893e-11,-8.183222329104139e-13
33,59.79052114486694,0.7965040873120832,5.931668846204684e-07,2.09521532597813,0.8751839564711729,1.892973261258433,0.0,0.0,0.20108500746057628,0.01344583561223012,7.306113954129174,0.5,0.45687951302556645,2.7915862383072776,83480817.49614213,83480819.9535365,7.105427357601002e-15,True,47.0,-11.272405677498766,-37173.813289577476,1.4181887807244266e-05,3.2271981655895843e-06,83480819.9535365,6.231568862168977e-10,6.79525692016115e-12
34,61.65125250816345,0.7965040879019267,1.324604901281765e-06,2.0952153259558157,0.875183956471173,1.8929732612274435,0.0,0.0,0.2010850075198242,0.013445835615910638,7.3061139541294065,0.5,0.4568795130255662,2.7915862382987693,1491372534.8323412,1491372578.7331345,8.881784197001252e-16,False,51.0,-11.272405677498687,664104.7609639287,0.00017869726047844324,4.8593768946503246e-05,1491372578.7331345,3.488186265100627e-11,-3.951721275162294e-13
35,63.50554704666138,0.7965040869846447,2.05993072921113e-06,2.09521532599058,0.875183956471127,1.892973261275706,0.0,0.0,0.20108500742788213,0.01344583561019937,7.306113954129378,0.5,0.4568795130255532,2.7915862383121928,36238684.62230681,36238685.689057715,5.684341886080802e-14,True,44.0,-11.272405677499158,-16137.000232858818,8.12352244819578e-06,4.698863882879323e-06,36238685.689057715,1.4355283097771352e-09,1.5657496310637216e-11
36,65.35414528846741,0.7965040873694664,8.641900398248873e-07,2.0952153259759956,0.875183956471121,1.8929732612554635,0.0,0.0,0.20108500746651495,0.01344583561259929,7.306113954129357,0.5,0.45687951302554997,2.791586238306687,60811967.79255024,60811969.58263218,1.4210854715202004e-14,True,46.0,-11.27240567749929,27079.43205356753,1.2051636941284689e-05,1.4010790145846386e-06,60811969.58263218,8.554503078673433e-10,-9.306194463092797e-12
37,67.21975564956665,0.7965040871745533,4.3771469409087917e-07,2.095215325983382,0.8751839564711185,1.8929732612657173,0.0,0.0,0.2010850074469591,0.013445835611384483,7.306113954129357,0.5,0.4568795130255498,2.7915862383095025,492822933.53367627,492822948.04067415,8.881784197001252e-16,False,51.0,-11.272405677499295,-219452.91603922867,7.09018104768593e-05,1.0093722563553342e-05,492822948.04067415,1.055585515948663e-10,1.1682512750362733e-12
38,69.07624506950378,0.7965040873928134,4.90144301189601e-07,2.0952153259751087,0.8751839564711142,1.892973261254236,0.0,0.0,0.20108500746886485,0.013445835612745283,7.30611395412934,0.5,0.45687951302554897,2.791586238306365,137963355.82231706,137963359.88346657,3.552713678800501e-15,True,48.0,-11.272405677499297,61434.76750935841,2.1981435729151943e-05,4.7058371599462134e-06,137963359.88346657,3.770682707203413e-10,-4.138283728732727e-12
39,70.93384623527527,0.7965040872679189,2.8047412942641234e-07,2.095215325979844,0.8751839564711145,1.8929732612608072,0.0,0.0,0.2010850074563381,0.013445835611967123,7.3061139541293585,0.5,0.4568795130255487,2.79158623830817,315785795.57525986,315785804.8709021,8.881784197001252e-16,False,51.0,-11.272405677499275,-140618.68554680952,5.016054900896105e-05,2.9258556107691902e-05,315785804.8709021,1.6473664904017447e-10,1.8029588218401823e-12
40,72.79235577583313,0.7965040874099846,3.1903477710462713e-07,2.09521532597446,0.8751839564711078,1.8929732612533368,0.0,0.0,0.2010850074705981,0.013445835612852964,7.306113954129368,0.5,0.4568795130255486,2.7915862383061234,359201225.7464812,359201236.3201016,8.881784197001252e-16,False,51.0,-11.272405677499316,159951.4819963858,3.235574784394371e-05,1.1946676115925925e-05,359201236.3201016,1.4482601518029377e-10,-1.5959486830526105e-12
41,74.6442220211029,0.7965040872117344,4.4520740590040906e-07,2.095215325981975,0.8751839564711089,1.8929732612637657,0.0,0.0,0.2010850074507096,0.013445835611617492,7.3061139541293665,0.5,0.45687951302554813,2.79158623830899,250629488.53068236,250629495.90835032,1.7763568394002505e-15,True,49.0,-11.272405677499338,-111604.73192475292,3.5463332809178805e-05,6.6160307330420665e-06,250629495.90835032,2.075637580374127e-10,2.270380745631034e-12
42,76.49362301826477,0.7965040873547123,3.2108357693491597e-07,2.095215325976554,0.875183956471105,1.892973261256244,0.0,0.0,0.2010850074650533,0.01344583561250853,7.306113954129347,0.5,0.4568795130255478,2.791586238306933,180753984.9967674,180753990.31752375,1.7763568394002505e-15,True,49.0,-11.272405677499341,80489.33631725158,2.5466127587386714e-05,8.678591942867797e-07,180753990.31752375,2.878035040357931e-10,-3.1257128981799935e-12
43,78.3594024181366,0.7965040870822568,6.118501160672294e-07,2.095215325986885,0.8751839564711041,1.892973261270581,0.0,0.0,0.20108500743772834,0.013445835610811106,7.306113954129381,0.5,0.4568795130255476,2.791586238310867,688881988.9025582,688882009.1808506,8.881784197001252e-16,False,51.0,-11.272405677499307,-306757.56140546955,0.00017650082173194988,3.5183761326607055e-05,688882009.1808506,7.551578751162944e-11,7.659901464731428e-13
44,80.21844458580017,0.7965040873529089,6.078003177685473e-07,2.095215325976626,0.875183956471104,1.8929732612563421,0.0,0.0,0.2010850074648878,0.013445835612498272,7.3061139541293585,0.5,0.45687951302554597,2.7915862383069854,85540290.10123216,85540292.61922958,7.105427357601002e-15,True,47.0,-11.272405677499378,38090.89697848443,1.2868740448887615e-05,1.0403975778672248e-06,85540292.61922958,6.081535280670497e-10,-6.646262683810289e-12
45,82.08237814903259,0.7965040870349344,7.140728661684345e-07,2.095215325988681,0.875183956471092,1.892973261273077,0.0,0.0,0.20108500743299848,0.013445835610517317,7.306113954129395,0.5,0.45687951302554575,2.7915862383115764,803974574.1973403,803974597.8635567,8.881784197001252e-16,False,51.0,-11.272405677499357,-358008.0254908201,9.382407020555243e-05,1.3106129024720303e-05,803974597.8635567,6.470563920084845e-11,7.163264740367409e-13
46,83.93445158004761,0.7965040872618934,5.096804785966909e-07,2.0952153259800785,0.8751839564710929,1.8929732612611359,0.0,0.0,0.20108500745577895,0.013445835611932463,7.306113954129371,0.5,0.4568795130255442,2.7915862383083248,71731150.44333564,71731152.55484019,7.105427357601002e-15,True,47.0,-11.272405677499432,31941.718853752955,9.517063099836637e-06,1.9231021504140244e-06,71731152.55484019,7.252307024254217e-10,-7.938687767709036e-12
47,85.79127812385559,0.79650408738804,2.8328591447690575e-07,2.0952153259752984,0.875183956471096,1.8929732612544994,0.0,0.0,0.20108500746843885,0.0134458356127189,7.306113954129374,0.5,0.4568795130255439,2.7915862383065075,318951584.15557295,318951593.54438436,8.881784197001252e-16,False,51.0,-11.272405677499407,142028.40956235817,4.561239693798523e-05,1.0184313211425433e-05,318951593.54438436,1.6310180772995336e-10,-1.7603769857558708e-12
48,87.6561987400055,0.7965040872525865,3.0418725802179927e-07,2.095215325980432,0.8751839564710926,1.8929732612616257,0.0,0.0,0.20108500745485475,0.01344583561187506,7.306113954129375,0.5,0.4568795130255437,2.791586238308465,342484405.26154894,342484415.34310514,8.881784197001252e-16,False,51.0,-11.272405677499417,-152507.51518808978,4.59883954685828e-05,1.0262117204007382e-05,342484415.34310514,1.5189502148701828e-10,1.670900266180436e-12
49,89.51923894882202,0.7965040873657109,2.5404207980691454e-07,2.095215325976151,0.8751839564711009,1.8929732612556778,0.0,0.0,0.20108500746620947,0.013445835612580417,7.3061139541294144,0.5,0.45687951302554347,2.7915862383068357,286025954.0965193,286025962.51611507,8.881784197001252e-16,False,51.0,-11.272405677499425,127366.70168452966,3.518308442283373e-05,1.3675055758000099e-05,286025962.51611507,1.8187707432803132e-10,-2.0133161944178698e-12
50,91.38430404663086,0.7965040871511103,4.819251087332805e-07,2.0952153259842885,0.8751839564711054,1.8929732612669683,0.0,0.0,0.20108500744468222,0.013445835611243143,7.306113954129436,0.5,0.45687951302554336,2.791586238309935,542599435.6072727,542599451.5795171,8.881784197001252e-16,False,51.0,-11.272405677499505,-241618.2781101289,5.8714875148421966e-05,1.7724570131605333e-06,542599451.5795171,9.58748446595681e-11,1.0654537299181704e-12
