iteration,time,cost,distance,residual,gradnorm,maxviolation,meanviolation,tr_radius,barrier_parameter,maxabsLagmult
17,0.027989864349365234,-1.1646560887497241,0.021387690169731556,0.10546840010838879,0.020943125953357948,0.0004574336366611753,7.623893944352922e-05,30.00641888252229,0.020000000000000004,1.264591884290553
18,0.029019832611083984,-1.1726357604332796,0.018900838646060826,0.09298938469379074,0.017099204063244736,0.00035724203668197063,5.9540339446995105e-05,30.00641888252229,0.020000000000000004,1.2649538508771372
19,0.030086755752563477,-1.1833822073991345,0.01637007132691509,0.08334420906143836,0.01552398070165916,0.00026797943459722084,4.466323909953681e-05,30.00641888252229,0.020000000000000004,1.267662957179218
20,0.031110763549804688,-1.1886506689672098,0.014111044867558093,0.07594170257718164,0.013169728999709633,0.00019912178590342222,3.3186964317237035e-05,30.00641888252229,0.020000000000000004,1.2674277413096853
21,0.032182931900024414,-1.1960285166895486,0.011176882276940832,0.07034017361770323,0.012555533752819804,0.00012492285082421617,2.082047513736936e-05,30.00641888252229,0.020000000000000004,1.2693379831966989
22,0.034060001373291016,-1.199569661006731,0.009590056601512341,0.06605060830608564,0.011189146486532048,9.196924006693585e-05,1.5328206677822642e-05,30.00641888252229,0.020000000000000004,1.2691737744990361
23,0.034746646881103516,-1.199569661006731,0.0,0.06093232363831175,0.015958821517762744,9.196924006693585e-05,1.5328206677822642e-05,150.03209441261146,0.004000000000000001,1.2546974944256775
24,0.03696393966674805,-1.2138010566922943,0.01887536405528928,0.05252435489675245,0.015810633976795007,0.00035627955227268693,5.937992537878115e-05,150.03209441261146,0.004000000000000001,1.2593911268837366
25,0.03818106651306152,-1.2250493087678918,0.015450262343407292,0.045677531058169685,0.015204136974801165,0.00023871110021511655,3.978518336918609e-05,150.03209441261146,0.004000000000000001,1.263115208534667
26,0.039525747299194336,-1.234270274297317,0.013107820272091576,0.04068351843888041,0.014749518130684277,0.0001718150801797158,2.86358466966193e-05,150.03209441261146,0.004000000000000001,1.266187282851727
27,0.04062986373901367,-1.2415128540554399,0.010665696845974803,0.0369307763336017,0.014213651438823138,0.00011375741404284767,1.895956900714128e-05,150.03209441261146,0.004000000000000001,1.268566146403634
28,0.041697025299072266,-1.2437100837477881,0.009483185890772603,0.033700607590211505,0.013018309725221453,8.993095985321276e-05,1.4988493308868792e-05,150.03209441261146,0.004000000000000001,1.2681280259462075
29,0.042813777923583984,-1.2438656797025898,0.0036594483401857177,0.03181175676192999,0.011962609738230441,1.339159177371485e-05,2.2319319622858083e-06,150.03209441261146,0.004000000000000001,1.2678414952052046
30,0.04395103454589844,-1.2486770116281203,0.006736663728373783,0.02955149242905229,0.011539832025260011,4.538281889998608e-05,7.563803149997679e-06,150.03209441261146,0.004000000000000001,1.2695004746418699
31,0.04498291015625,-1.2487801241265195,0.0025756415679567763,0.028212548588290795,0.010809603714765107,6.633937522426692e-06,1.1056562537377819e-06,150.03209441261146,0.004000000000000001,1.269275589650479
32,0.04600071907043457,-1.2489170708717918,0.002437827142085355,0.02697198265186526,0.010127361585127956,5.943015570775145e-06,9.905025951291908e-07,150.03209441261146,0.004000000000000001,1.2690518499065946
33,0.047014713287353516,-1.2490419148842855,0.002315041738108005,0.025819011724958443,0.009487096511058732,5.359424136042179e-06,8.932373560070298e-07,150.03209441261146,0.004000000000000001,1.2688298998302245
