iteration,time,cost,distance,residual,gradnorm,complviolation,dualviolation,manviolation,maxviolation,meanviolation,second_order_residual,condition_number,rho,upsilon,maxabsLagmult,quadoptim_status,quadoptim_iter,quadoptim_gap,quadoptim_primalobjective,quadoptim_dualobjective,quadoptim_primalinfeasibility,quadoptim_dualinfeasibility,normdx,stepsize,df0,linesearch_status,linesearch_counter
26,1.1052961349487305,40000009.59630743,0.001585745814242311,37.69695758309293,37.69695758309292,1.0728893859240956e-06,0.0,0,0.0,0.0,-24.329555140899263,-1644025.7528145546,284663.3443652137,45.971178943655325,45.971178943655325,optimal,13.0,9.897529186500709e-13,-0.0018432823595946328,-0.0018432823605843858,1.962479197924415e-16,4.418756298064819e-13,0.01610269788280082,0.0984770902183612,0.0036418015824810726,1.0,22.0
27,1.1473546028137207,40000009.596224405,0.0003704510701231454,37.368856871074904,37.368856202367226,0.007069489567232511,0.0,0,0.0,0.0,-41.619171401091585,-961059.7658489407,284663.3443652137,55.95907565296756,55.95907565296756,optimal,12.0,8.413236490339409e-14,-0.0073550193375721395,-0.00735501933765627,1.5097514341920772e-16,7.694105315427454e-13,0.034379769575390066,0.01077526366430583,0.000414450485204255,1.0,43.0
28,1.190420150756836,40000009.596204005,0.00015351493693441045,37.02290982840698,37.02290712715616,0.014142712740649446,0.0,0,0.0,0.0,1.7381219499384872,23012477.93981601,284663.3443652137,40.34660633902729,40.34660633902729,unknown,13.0,2.1658396410823514e-18,-0.018936774500838728,-0.01893677450083873,1.7512375209957336e-16,4.913393869820642e-12,0.17860865033646847,0.0008595044557171439,0.009563712559889512,1.0,67.0
29,1.2348029613494873,40000009.596199475,2.066298949150042e-05,37.321961914659695,37.32196115354722,0.007537401482247746,0.0,0,1.3035166696040434e-11,8.690111130693623e-13,-31.699158470944425,-1261817.5645489343,284663.3443652137,59.65079109824514,59.65079109824514,unknown,15.0,1.3178257643272526e-20,-0.007785195019199752,-0.007785195019199753,4.82231127863489e-16,5.66009029366752e-12,0.03664174709140603,0.0005639208733960181,0.0004870747795136246,1.0,71.0
30,1.2793376445770264,40000009.59619695,1.1149086247314774e-05,37.67368800469539,37.67368800469539,3.1303713653500143e-10,0.0,0,1.9347926039081642e-11,1.289861735938776e-12,-60.68714310581756,-659094.4824247356,284663.3443652137,16.179362821871603,16.179362821871603,optimal,13.0,2.1086241844180104e-14,-0.00248565455069201,-0.0024856545507130966,1.205638919807189e-16,4.570064512735161e-13,0.021967681929177273,0.0005075287860564164,0.004971309522763548,1.0,72.0
31,1.3224906921386719,40000009.596194066,2.4763448003335584e-05,36.27333393662612,36.27332215445575,0.029236228589043088,0.0,0,2.8515797362294037e-11,1.9010531574862694e-12,-24.60175754944081,-1625841.285861409,284663.3443652137,94.17245889427976,94.17245889427976,unknown,13.0,1.262161537960774e-15,-0.0379526305755848,-0.03795263057558605,4.504927932196845e-16,9.44966203795948e-12,0.40132993165348446,6.170365191715192e-05,0.017429199457773496,1.0,92.0
32,1.3650784492492676,40000009.59599657,0.01281433395186981,45.435152869790926,45.435148811957966,0.019202513002113203,0.0,0,0.0,0.0,-42.97902746175713,-930631.2648589115,284663.3443652137,34.34197606313015,34.34197606313015,unknown,12.0,1.7140900719989938e-16,-0.03074561484252324,-0.03074561484252341,1.6030856145904183e-16,9.848609675477572e-12,0.46075964803011615,0.02781283894436938,0.021985347450521203,1.0,34.0
33,1.4064502716064453,40000009.59142686,0.00490102922268127,73.14484115917526,73.14483820502964,0.020788482736987923,0.0,0,0.0,0.0,19.65094631923618,2035396.6254156707,284663.3443652137,55.01263129366198,55.01263129366198,optimal,12.0,1.275954054176348e-14,-0.025668069782853065,-0.02566806978286582,2.065674511682694e-16,4.2057581251106795e-13,0.029387795271698644,0.16677181699666577,0.0009840315334525046,1.0,17.0
34,1.4724254608154297,40000009.591134824,0.011541329260659964,74.3308113723525,74.33080726146665,0.0247210627770176,0.0,0,0.0,0.0,-156.2612077932223,-255977.51582258783,284663.3443652137,63.78021199010534,63.78021199010534,unknown,11.0,8.532286464456244e-16,-0.02855851235932587,-0.028558512359326587,2.1226936691403334e-16,3.1635307002782024e-12,0.16077266526292655,0.07178979876918531,0.003825212534345185,1.0,25.0
35,1.5142347812652588,40000009.58911161,0.025718076124920875,116.98470905355978,116.9847082784876,0.013466372452750949,0.0,0,0.0,0.0,-8.987530664781547,-4448612.998925973,284663.3443652137,37.58349867582313,37.58349867582313,unknown,15.0,3.167666524988546e-23,-0.01694082606886155,-0.016940826068861544,1.6155592354528236e-16,7.413754889993714e-12,0.2902394427173052,0.08862938119652508,0.004039691722020562,1.0,23.0
